House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
1778,MAPLEWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OWQB,ENC 1798TAMLN-601,1778 MAPLEWOOD CIR,
1780,MAPLEWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OR9R,ENC 1798TAMLN-601,1780 MAPLEWOOD CIR,
1798,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OTFH,ENC 1798TAMLN-601,1798 TAMARIND LN,
1800,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OUTH,ENC 1798TAMLN-601,1800 TAMARIND LN,
1802,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OPWF,ENC 1798TAMLN-601,1802 TAMARIND LN,
1804,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006ORQY,ENC 1798TAMLN-601,1804 TAMARIND LN,
1806,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OWSG,ENC 1798TAMLN-601,1806 TAMARIND LN,
1808,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OR8Z,ENC 1798TAMLN-601,1808 TAMARIND LN,
1810,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OS4T,ENC 1798TAMLN-601,1810 TAMARIND LN,
1812,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OVD0,ENC 1798TAMLN-601,1812 TAMARIND LN,
1814,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OWMR,ENC 1798TAMLN-601,1814 TAMARIND LN,
1816,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OQX4,ENC 1798TAMLN-601,1816 TAMARIND LN,
1818,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OUJN,ENC 1798TAMLN-601,1818 TAMARIND LN,
1820,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OWPU,ENC 1798TAMLN-601,1820 TAMARIND LN,
1824,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OUFA,ENC 1798TAMLN-601,1824 TAMARIND LN,
1826,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OPXP,ENC 1798TAMLN-601,1826 TAMARIND LN,
1828,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006ORE1,ENC 1798TAMLN-601,1828 TAMARIND LN,
1830,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OVFA,ENC 1798TAMLN-601,1830 TAMARIND LN,
1832,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OQF6,ENC 1798TAMLN-601,1832 TAMARIND LN,
1834,TAMARIND LN,COCNUT CRK,33063,,,,,,,610705,000006OWQE,ENC 1798TAMLN-601,1834 TAMARIND LN,
1762,MAPLEWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OUBU,ENC 1798TAMLN-651,1762 MAPLEWOOD CIR,
1764,MAPLEWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OTGB,ENC 1798TAMLN-651,1764 MAPLEWOOD CIR,
1766,MAPLEWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OT6B,ENC 1798TAMLN-651,1766 MAPLEWOOD CIR,
1768,MAPLEWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OSPO,ENC 1798TAMLN-651,1768 MAPLEWOOD CIR,
1770,MAPLEWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OQC0,ENC 1798TAMLN-651,1770 MAPLEWOOD CIR,
1772,MAPLEWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OWA3,ENC 1798TAMLN-651,1772 MAPLEWOOD CIR,
1801,HAMMOCK BLVD,COCNUT CRK,33063,UNIT,CLUBHSE,,,,,610705,000006OQTG,ENC 1798TAMLN-801,1801 HAMMOCK BLVD UNIT CLUBHSE,
1801,HAMMOCK BLVD,COCNUT CRK,33063,,,,,BLDG,CLUBHSE,610705,000006OQTG,ENC 1798TAMLN-801,1801 HAMMOCK BLVD     BLDG CLUBHSE,
1801,HAMMOCK BLVD,COCNUT CRK,33063,,,,,BLDG,REC,610705,000006OQFT,ENC 1798TAMLN-801,1801 HAMMOCK BLVD     BLDG REC,
1400,NW 47TH AV,COCNUT CRK,33063,,,,,,,610705,000006OU03,F 1400 NW 47TH AV,1400 NW 47TH AV,
1410,NW 47TH AV,COCNUT CRK,33063,,,,,,,610705,000006OSKV,F 1400 NW 47TH AV,1410 NW 47TH AV,
1405,NW 49TH AV,COCNUT CRK,33063,,,,,,,610705,000006OS80,F 1405 NW 49TH AV,1405 NW 49TH AV,
1415,NW 49TH AV,COCNUT CRK,33063,,,,,,,610705,000006OVSB,F 1405 NW 49TH AV,1415 NW 49TH AV,
1413,NW 48TH TER,COCNUT CRK,33063,,,,,,,610705,000006OWOR,F 1413 NW 48TH TER,1413 NW 48TH TER,
1423,NW 48TH TER,COCNUT CRK,33063,,,,,,,610705,000006OVUF,F 1413 NW 48TH TER,1423 NW 48TH TER,
1414,NW 49TH AV,COCNUT CRK,33063,,,,,,,610705,000006ORUB,F 1414 NW 49TH AV,1414 NW 49TH AV,
1424,NW 49TH AV,COCNUT CRK,33063,,,,,,,610705,000006OR8O,F 1414 NW 49TH AV,1424 NW 49TH AV,
1420,NW 47TH AV,COCNUT CRK,33063,,,,,,,610705,000006ORTX,F 1420 NW 47TH AV,1420 NW 47TH AV,
1430,NW 47TH AV,COCNUT CRK,33063,,,,,,,610705,000006OTMH,F 1420 NW 47TH AV,1430 NW 47TH AV,
1421,NW 47TH AV,COCNUT CRK,33063,,,,,,,610705,000006OS7V,F 1421 NW 47TH AV,1421 NW 47TH AV,
1422,NW 47TH TER,COCNUT CRK,33063,,,,,,,610705,000006OQX7,F 1422 NW 47TH TER,1422 NW 47TH TER,
1425,NW 49TH AV,COCNUT CRK,33063,,,,,,,610705,000006OW94,F 1425 NW 49TH AV,1425 NW 49TH AV,
1435,NW 49TH AV,COCNUT CRK,33063,,,,,,,610705,000006OUYP,F 1425 NW 49TH AV,1435 NW 49TH AV,
1431,NW 47TH AV,COCNUT CRK,33063,,,,,,,610705,000006OPVI,F 1431 NW 47TH AV,1431 NW 47TH AV,
1432,NW 47TH TER,COCNUT CRK,33063,,,,,,,610705,000006ORPG,F 1432 NW 47TH TER,1432 NW 47TH TER,
1433,NW 48TH TER,COCNUT CRK,33063,,,,,,,610705,000006OPYI,F 1433.1 NW 48TH TER,1433 NW 48TH TER,
1443,NW 48TH TER,COCNUT CRK,33063,,,,,,,610705,000006OW6I,F 1433.1 NW 48TH TER,1443 NW 48TH TER,
1434,NW 49TH AV,COCNUT CRK,33063,,,,,,,610705,000006OTVX,F 1434 NW 49TH AV,1434 NW 49TH AV,
