House Number;Street Name;Community;Zip Code;Unit Type;Unit;Floor Type;Floor;Building Type;Building;DA/PSA;OVALS Address ID;Primary_Term_Address;FAC_ADDR;Working TN Status
2103;NW 73RD LN;MRGT;33063;;;;;;;121404;000006P0K1;F 2113 NW 73RD LN;2103 NW 73RD LN;
2112;NW 73RD LN;MRGT;33063;;;;;;;121404;000006P5Z0;F 2102 NW 73RD LN;2112 NW 73RD LN;
2113;NW 73RD LN;MRGT;33063;;;;;;;121404;000006P8RK;F 2113 NW 73RD LN;2113 NW 73RD LN;
2122;NW 73RD LN;MRGT;33063;;;;;;;121404;000006OYWX;F 2132 NW 73RD LN;2122 NW 73RD LN;
2132;NW 73RD LN;MRGT;33063;;;;;;;121404;000006P0QJ;F 2132 NW 73RD LN;2132 NW 73RD LN;
2178;NW 75TH AV;MRGT;33063;;;;;;;121404;000006OXTS;F 2198 NW 75TH AV;2178 NW 75TH AV;
2179;NW 75TH AV;MRGT;33063;;;;;;;121404;000006ORL1;F 2199 NW 75TH AV;2179 NW 75TH AV;
2198;NW 75TH AV;MRGT;33063;;;;;;;121404;000006P5S1;F 2198 NW 75TH AV;2198 NW 75TH AV;
2199;NW 75TH AV;MRGT;33063;;;;;;;121404;000006P3SA;F 2199 NW 75TH AV;2199 NW 75TH AV;
2219;NW 75TH AV;MRGT;33063;;;;;;;121404;000006OSX7;F 2219 NW 75TH AV;2219 NW 75TH AV;
2239;NW 75TH AV;MRGT;33063;;;;;;;121404;000006P80W;F 2219 NW 75TH AV;2239 NW 75TH AV;
2259;NW 75TH AV;MRGT;33063;;;;;;;121404;000006P5IU;F 2279 NW 75TH AV;2259 NW 75TH AV;
2279;NW 75TH AV;MRGT;33063;;;;;;;121404;000006OXJ7;F 2279 NW 75TH AV;2279 NW 75TH AV;
2299;NW 75TH AV;MRGT;33063;;;;;;;121404;000006P3LG;F 2299 NW 75TH AV;2299 NW 75TH AV;
2100;NW 76TH AV;MRGT;33063;;;;;;;121404;000006PC7B;R 7562 NW 21ST ST;2100 NW 76TH AV;
2101;NW 76TH AV;MRGT;33063;;;;;;;121404;000006PCUI;R 2101 NW 76TH AV;2101 NW 76TH AV;
2111;NW 76TH AV;MRGT;33063;;;;;;;121404;000006P4DT;R 2121 NW 76TH AV;2111 NW 76TH AV;
2121;NW 76TH AV;MRGT;33063;;;;;;;121404;000006P4D1;R 2121 NW 76TH AV;2121 NW 76TH AV;
2131;NW 76TH AV;MRGT;33063;;;;;;;121404;000006OS3P;2131 NW 76TH AV;2131 NW 76TH AV;
2141;NW 76TH AV;MRGT;33063;;;;;;;121404;000006P1VY;R 2151 NW 76TH AV;2141 NW 76TH AV;
2151;NW 76TH AV;MRGT;33063;;;;;;;121404;000006P39Q;R 2151 NW 76TH AV;2151 NW 76TH AV;
2160;NW 76TH AV;MRGT;33063;;;;;;;121404;000006OX5T;F 2160 NW 76TH AV;2160 NW 76TH AV;
2161;NW 76TH AV;MRGT;33063;;;;;;;121404;000006OSDS;R 2161 NW 76TH AV;2161 NW 76TH AV;
2171;NW 76TH AV;MRGT;33063;;;;;;;121404;000006P1K4;R 2171 NW 76TH AV;2171 NW 76TH AV;
2180;NW 76TH AV;MRGT;33063;;;;;;;121404;000006PEZZ;F 2160 NW 76TH AV;2180 NW 76TH AV;
2181;NW 76TH AV;MRGT;33063;;;;;;;121404;000006OWNC;R 2181 NW 76TH AV;2181 NW 76TH AV;
2191;NW 76TH AV;MRGT;33063;;;;;;;121404;000006OYMZ;R 2181 NW 76TH AV;2191 NW 76TH AV;
2200;NW 76TH AV;MRGT;33063;;;;;;;121404;000006OYVF;F 2200 NW 76TH AV;2200 NW 76TH AV;
2220;NW 76TH AV;MRGT;33063;;;;;;;121404;000006P4VY;F 2200 NW 76TH AV;2220 NW 76TH AV;
2240;NW 76TH AV;MRGT;33063;;;;;;;121404;000006OUKX;R 7631 NW 23RD ST;2240 NW 76TH AV;
2260;NW 76TH AV;MRGT;33063;;;;;;;121404;000006OT8F;F 2260 NW 76TH AV;2260 NW 76TH AV;
2280;NW 76TH AV;MRGT;33063;;;;;;;121404;000006P4S5;F 2260 NW 76TH AV;2280 NW 76TH AV;
2100;NW 76TH TER;MRGT;33063;;;;;;;121404;000006OZPQ;R 2101 NW 76TH AV;2100 NW 76TH TER;
2111;NW 76TH TER;MRGT;33063;;;;;;;121404;000006P87J;R 7669 NW 21ST ST;2111 NW 76TH TER;
2120;NW 76TH TER;MRGT;33063;;;;;;;121404;000006OZR6;R 2131 NW 76TH AV;2120 NW 76TH TER;Y
2121;NW 76TH TER;MRGT;33063;;;;;;;121404;000006OYDW;R 2131 NW 76TH TER;2121 NW 76TH TER;
2131;NW 76TH TER;MRGT;33063;;;;;;;121404;000006P45D;R 2131 NW 76TH TER;2131 NW 76TH TER;
2140;NW 76TH TER;MRGT;33063;;;;;;;121404;000006OZN7;2131 NW 76TH AV;2140 NW 76TH TER;
2141;NW 76TH TER;MRGT;33063;;;;;;;121404;000006P2D2;R 2151 NW 76TH TER;2141 NW 76TH TER;
2141;NW 76TH TER;MRGT;33063;;;;;;;121404;000006P2D2;R 2151 NW 76TH TER;2141 NW 76TH TER;Y
2150;NW 76TH TER;MRGT;33063;;;;;;;121404;000006P99J;R 2151 NW 76TH AV;2150 NW 76TH TER;
2160;NW 76TH TER;MRGT;33063;;;;;;;121404;000006OX8G;F 7379 NW 22ND PL;2160 NW 76TH TER;
2161;NW 76TH TER;MRGT;33063;;;;;;;121404;000006P0WU;R 2151 NW 76TH TER;2161 NW 76TH TER;
2170;NW 76TH TER;MRGT;33063;;;;;;;121404;000006P5M6;R 2161.1 NW 76TH AV;2170 NW 76TH TER;
